brand,sku,product_url,image_url,local_path,contains_person,person_score,kept,status
Golden Man House,,https://goldenmanhouse.com/ar/products/vega,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_25_12_PM.png?v=1788396176,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vega\img_008.png,True,0.9344,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vega,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_25_26_PM.png?v=1788396179,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vega\img_009.png,True,0.9235,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vega,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_25_35_PM.png?v=1788396181,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vega\img_010.png,True,0.9339,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/plaid-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_38_23_PM_grande.png?v=1788644450,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_plaid-shirt\img_000.png,True,0.8491,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_56_58_PM_80x80.png?v=1788645621,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija\img_004.png,True,0.8785,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/striped-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_41_23_PM_grande.png?v=1788723805,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_striped-shirt\img_000.png,True,0.9197,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/striped-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_48_51_PM_80x80.png?v=1788724317,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_striped-shirt\img_004.png,True,0.7783,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/striped-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_41_23_PM.png?v=1788723805,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_striped-shirt\img_005.png,True,0.9212,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/striped-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_41_18_PM.png?v=1788723808,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_striped-shirt\img_006.png,True,0.9352,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_48_51_PM_grande.png?v=1788724317,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt\img_000.png,True,0.8981,False,person_detected
